Date,Rainfall ,MinT,MaxT,Env,backup
7/22/17,26.2,24.8,31.6,Kobo,31.6
7/23/17,29.3,24.2,30,Kobo,30
7/24/17,8.1,23.6,30,Kobo,30
7/25/17,0,23.4,30,Kobo,30
7/26/17,25.6,24.9,28.5,Kobo,18.5
7/27/17,0,23.7,26.2,Kobo,16.2
7/28/17,0,23.1,30,Kobo,30
7/29/17,5.7,23.6,29,Kobo,29
7/30/17,0.8,24.1,31,Kobo,31
7/31/17,1.8,24.1,31,Kobo,
8/1/17,19.5,24.2,31,Kobo,31
8/2/17,2.6,24.1,31,Kobo,31
8/3/17,0,22.5,29.9,Kobo,29.9
8/4/17,0,22.6,29,Kobo,29
8/5/17,7.1,23.8,29.9,Kobo,29.9
8/6/17,24.8,23.1,30.1,Kobo,30.1
8/7/17,19.9,22.9,31,Kobo,31
8/8/17,9.5,23.3,29.9,Kobo,29.9
8/9/17,0,23.4,30,Kobo,30
8/10/17,22.2,21,30,Kobo,30
8/11/17,0,22.9,30,Kobo,30
8/12/17,28.2,23.5,30,Kobo,30
8/13/17,5.6,22.9,29,Kobo,29
8/14/17,3.6,23.2,30,Kobo,30
8/15/17,29.2,24.4,30,Kobo,30
8/16/17,0,23.1,31,Kobo,31
8/17/17,28.3,24.5,32,Kobo,32
8/18/17,23.3,24,31,Kobo,31
8/19/17,1.5,22.9,29.9,Kobo,29.9
8/20/17,0,23,30.9,Kobo,30.9
8/21/17,5,23.9,30,Kobo,30
8/22/17,21.2,23.4,31,Kobo,31
8/23/17,3.7,24.1,32,Kobo,32
8/24/17,0,24,32,Kobo,32
8/25/17,0,24.7,31,Kobo,31
8/26/17,25,26.5,33,Kobo,33
8/27/17,17.8,26.6,33,Kobo,33
8/28/17,0,24.1,31,Kobo,31
8/29/17,19.9,23.6,30,Kobo,30
8/30/17,0,24.8,32.7,Kobo,32.7
8/31/17,5.5,23.9,31.5,Kobo,31.5
9/1/17,1.8,24,31,Kobo,31
9/2/17,4.5,24.1,31.8,Kobo,31.8
9/3/17,21.4,23.9,30.3,Kobo,30.3
9/4/17,22.8,24,30,Kobo,30
9/5/17,3.6,23.2,31,Kobo,31
9/6/17,14.5,23.2,30,Kobo,30
9/7/17,28.9,23.9,31,Kobo,31
9/8/17,12.2,23.1,30.2,Kobo,30.2
9/9/17,0,23.5,30.2,Kobo,30.2
9/10/17,0,23.7,30.2,Kobo,30.2
9/11/17,20.2,23.6,30.6,Kobo,30.6
9/12/17,1.6,22.8,30,Kobo,30
9/13/17,0,23.4,30,Kobo,30
9/14/17,0,23.5,30,Kobo,30
9/15/17,0,23.2,30,Kobo,30
9/16/17,0,23.2,29,Kobo,29
9/17/17,0,23.1,30,Kobo,30
9/18/17,0,23.1,31,Kobo,31
9/19/17,2.6,22.9,31,Kobo,31
9/20/17,0,23.5,31,Kobo,31
9/21/17,0,22.2,31,Kobo,31
9/22/17,6,21.7,28,Kobo,28
9/23/17,0,22,30.9,Kobo,30.9
9/24/17,3.5,22.3,29.9,Kobo,29.9
9/25/17,0,22.1,29.9,Kobo,29.9
9/26/17,0,22.2,29.9,Kobo,29.9
9/27/17,0,22,31,Kobo,31
9/28/17,0,21.4,27.9,Kobo,27.9
9/29/17,0,21.6,31,Kobo,31
9/30/17,0,22,31,Kobo,
10/1/17,0,22.3,30,Kobo,30
10/2/17,4.4,22.2,31,Kobo,31
10/3/17,0,22.7,31,Kobo,31
10/4/17,0,22,31,Kobo,31
10/5/17,0,22.2,30,Kobo,30
10/6/17,0,21.3,31,Kobo,31
10/7/17,0,23.1,32,Kobo,32
10/8/17,0,22.5,31,Kobo,31
10/9/17,0,22.3,30,Kobo,30
10/10/17,0,22.5,31.4,Kobo,31.4
10/11/17,0,21.7,31,Kobo,31
10/12/17,0,21.7,31.5,Kobo,31.5
10/13/17,0,22.6,31.6,Kobo,31.6
10/14/17,0,22.3,30,Kobo,30
10/15/17,0,22.4,30,Kobo,30
10/16/17,0,23,30,Kobo,30
10/17/17,16.9,23.3,29,Kobo,29
10/18/17,0,22.3,28.6,Kobo,28.6
10/19/17,17,22.8,29,Kobo,29
10/20/17,1.2,21.7,29,Kobo,29
10/21/17,0,22.7,28.8,Kobo,28.8
10/22/17,0,21.3,29.4,Kobo,29.4
10/23/17,0,20.7,29,Kobo,29
10/24/17,0,20.4,29,Kobo,29
10/25/17,0,20.3,29.5,Kobo,29.5
10/26/17,0,20.1,30,Kobo,30
10/27/17,0,22,29.9,Kobo,29.9
10/28/17,0,21.3,28,Kobo,28
10/29/17,0,20.5,29,Kobo,29
10/30/17,0,21.6,28.7,Kobo,28.7
10/31/17,0,21,28,Kobo,28
11/1/17,0,19.9,29,Kobo,29
11/2/17,0,20.6,29,Kobo,29
11/3/17,0,20.3,28.6,Kobo,28.6
11/4/17,0,22,28.8,Kobo,28.8
11/5/17,0,22.5,29.4,Kobo,29.4
11/6/17,0,22.3,30,Kobo,30
11/7/17,0,20.9,29.9,Kobo,29.9
11/8/17,37,23.5,29,Kobo,29
11/9/17,4.5,21.8,27,Kobo,27
11/10/17,0,20.9,27.8,Kobo,27.8
11/11/17,0,21.4,28,Kobo,28
11/12/17,0,21.1,28.9,Kobo,28.9
11/13/17,0,19.6,28.8,Kobo,28.8
11/14/17,8.2,20.8,30,Kobo,30
11/15/17,9.8,21.7,29.8,Kobo,29.8
11/16/17,2.4,21.7,29.3,Kobo,29.3
11/17/17,0,20.6,28.1,Kobo,28.1
11/18/17,0,19.7,27,Kobo,27
11/19/17,0,18.6,27,Kobo,27
11/20/17,0,18.6,28.1,Kobo,28.1
11/21/17,0,17.8,27.6,Kobo,27.6
11/22/17,0,18.6,27.6,Kobo,27.6
11/23/17,0,19.8,28.4,Kobo,28.4
11/24/17,5.6,20.1,28.1,Kobo,28.1
11/25/17,0,21,27.3,Kobo,27.3
11/26/17,0,21.3,27.6,Kobo,27.6
11/27/17,0,20.7,28,Kobo,28
11/28/17,0,21.7,26,Kobo,26
11/29/17,0,20.9,27,Kobo,27
11/30/17,0,20,27,Kobo,
12/1/17,0,19.7,28,Kobo,28
12/2/17,0,20,27,Kobo,27
12/3/17,0,19.2,27.8,Kobo,27.8
12/4/17,0,19.7,27.8,Kobo,27.8
12/5/17,0,19.6,28.8,Kobo,28.8
12/6/17,0,20.4,28.9,Kobo,28.9
12/7/17,0,20.6,27.6,Kobo,27.6
12/8/17,0,21.7,27.9,Kobo,27.9
12/9/17,0,20,31,Kobo,31
12/10/17,0,24.3,30,Kobo,30
12/11/17,0,23.1,31.1,Kobo,31.1
12/12/17,0,24.5,31,Kobo,31
12/13/17,0,24.5,32,Kobo,32
12/14/17,0,24.7,31.3,Kobo,31.3
12/15/17,0,25.9,33,Kobo,33
12/16/17,0,25.1,32,Kobo,32
12/17/17,0,25.7,33.1,Kobo,33.1
12/18/17,0,23.9,32.8,Kobo,32.8
12/19/17,0,25.2,33,Kobo,33
12/20/17,0,24.7,33.3,Kobo,33.3
12/21/17,0,24.8,33.4,Kobo,33.4
12/22/17,0,26.1,32,Kobo,32
12/23/17,0,26.4,33.4,Kobo,33.4
12/24/17,0,24.5,32.4,Kobo,32.4
12/25/17,0,25.3,34.6,Kobo,34.6
12/26/17,0,25.9,32.6,Kobo,32.6
12/27/17,0,26.5,34,Kobo,34
12/28/17,2.2,25.4,32,Kobo,32
12/29/17,0,23.9,29.3,Kobo,29.3
12/30/17,0,24.9,32,Kobo,32
12/31/17,0,24,32,Kobo,
